              hall_a  |                root  |                        Hall A  |                                 0*cm 0*cm -500*cm  |                       0*deg 0*deg 0*deg  | 00BFFF   |              Sphere  |                    0*cm 4000*cm 0*deg 360*deg 0*deg 180*deg  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
                hand  |              hall_a  |       Hall A Neutron Detector  |                     599.63450*cm 0*cm 20.93970*cm  |                     0*deg -88*deg 0*deg  | 969696   |                 Box  |                                          55*cm 160*cm 50*cm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          hand_p1_b0  |                hand  |Hall A Neutron Detector, Plane 1 Bar 0  |                                0*cm 145*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                             50*cm 5*cm 5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4101 
          hand_p1_b1  |                hand  |Hall A Neutron Detector, Plane 1 Bar 1  |                                0*cm 135*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                             50*cm 5*cm 5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4101 
          hand_p1_b2  |                hand  |Hall A Neutron Detector, Plane 1 Bar 2  |                                0*cm 125*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                             50*cm 5*cm 5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4102 
          hand_p1_b3  |                hand  |Hall A Neutron Detector, Plane 1 Bar 3  |                                0*cm 115*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                             50*cm 5*cm 5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4104 
          hand_p1_b4  |                hand  |Hall A Neutron Detector, Plane 1 Bar 4  |                                0*cm 105*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                             50*cm 5*cm 5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4107 
          hand_p1_b5  |                hand  |Hall A Neutron Detector, Plane 1 Bar 5  |                                 0*cm 95*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                             50*cm 5*cm 5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4111 
          hand_p1_b6  |                hand  |Hall A Neutron Detector, Plane 1 Bar 6  |                                 0*cm 85*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                             50*cm 5*cm 5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4116 
          hand_p1_b7  |                hand  |Hall A Neutron Detector, Plane 1 Bar 7  |                                 0*cm 75*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                             50*cm 5*cm 5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4122 
          hand_p1_b8  |                hand  |Hall A Neutron Detector, Plane 1 Bar 8  |                                 0*cm 65*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                             50*cm 5*cm 5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4129 
          hand_p1_b9  |                hand  |Hall A Neutron Detector, Plane 1 Bar 9  |                                 0*cm 55*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                             50*cm 5*cm 5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4137 
         hand_p1_b10  |                hand  |Hall A Neutron Detector, Plane 1 Bar 10  |                                 0*cm 45*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                             50*cm 5*cm 5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4146 
         hand_p1_b11  |                hand  |Hall A Neutron Detector, Plane 1 Bar 11  |                                 0*cm 35*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                             50*cm 5*cm 5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4156 
         hand_p1_b12  |                hand  |Hall A Neutron Detector, Plane 1 Bar 12  |                                 0*cm 25*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                             50*cm 5*cm 5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4167 
         hand_p1_b13  |                hand  |Hall A Neutron Detector, Plane 1 Bar 13  |                                 0*cm 15*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                             50*cm 5*cm 5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4179 
